pos	3pG>A
1	0.002631578947368421
2	0.004219409282700422
3	0.0034924330616996507
4	0.006362672322375398
5	0.0047169811320754715
6	0.00477326968973747
7	0.004597701149425287
8	0.006688963210702341
9	0.002430133657351154
10	0.005813953488372093
11	0.007255139056831923
12	0.0059031877213695395
13	0.007009345794392523
14	0.005952380952380952
15	0.005875440658049354
16	0.0056753688989784334
17	0.004624277456647399
18	0.005747126436781609
19	0.010033444816053512
20	0.008
21	0.0024783147459727386
22	0.0037128712871287127
23	0.0035294117647058825
24	0.007263922518159807
25	0.008888888888888889
