pos	5pC>T
1	0.6171171171171171
2	0.5029585798816568
3	0.35543766578249336
4	0.3220779220779221
5	0.22804718217562253
6	0.18856447688564476
7	0.15433673469387754
8	0.1375796178343949
9	0.1166077738515901
10	0.08913308913308914
11	0.09529411764705882
12	0.09456264775413711
13	0.06752037252619325
14	0.07283236994219654
15	0.06192660550458716
16	0.05125284738041002
17	0.06385542168674699
18	0.06698564593301436
19	0.05730337078651685
20	0.058402860548271755
21	0.0593505039193729
22	0.05824175824175824
23	0.06666666666666667
24	0.06955530216647662
25	0.10180995475113122
