pos	3pG>A
1	0.006944444444444444
2	0.007053291536050157
3	0.0034100596760443308
4	0.003316749585406302
5	0.0049833887043189366
6	0.005203816131830009
7	0.007104795737122558
8	0.0051635111876075735
9	0.003683241252302026
10	0.008976660682226212
11	0.008152173913043478
12	0.003552397868561279
13	0.01054481546572935
14	0.007614213197969543
15	0.005560704355885079
16	0.004409171075837742
17	0.008244023083264633
18	0.004317789291882556
19	0.006108202443280977
20	0.005050505050505051
21	0.0035842293906810036
22	0.004488330341113106
23	0.006211180124223602
24	0.0017969451931716084
25	0.00528169014084507
