pos	5pC>T
1	0.6141975308641975
2	0.49019607843137253
3	0.35838926174496644
4	0.3108665749656121
5	0.22490470139771285
6	0.1896774193548387
7	0.17193426042983564
8	0.14945321992709598
9	0.10128055878928988
10	0.099644128113879
11	0.07701421800947868
12	0.09781357882623705
13	0.0815347721822542
14	0.07319952774498228
15	0.07599118942731277
16	0.058004640371229696
17	0.06807511737089202
18	0.07021791767554479
19	0.05005688282138794
20	0.04090909090909091
21	0.07042253521126761
22	0.058823529411764705
23	0.0636042402826855
24	0.0667433831990794
25	0.09415971394517282
