pos	3pG>A
1	0.0039177277179236044
2	0.0029498525073746312
3	0.006993006993006993
4	0.0059121621621621625
5	0.0035398230088495575
6	0.010498687664041995
7	0.006369426751592357
8	0.005029337803855826
9	0.002697841726618705
10	0.0054894784995425435
11	0.006831767719897523
12	0.006705783738474434
13	0.007123775601068566
14	0.004432624113475178
15	0.004629629629629629
16	0.004351610095735422
17	0.002631578947368421
18	0.005357142857142857
19	0.004468275245755138
20	0.006932409012131715
21	0.006216696269982238
22	0.007725321888412017
23	0.004492362982929021
24	0.005319148936170213
25	0.005902192242833052
