pos	3pG>A
1	0.005703422053231939
2	0.0015128593040847202
3	0.005244755244755245
4	0.00338409475465313
5	0.003418803418803419
6	0.00530035335689046
7	0.005415162454873646
8	0.00510204081632653
9	0.0034423407917383822
10	0.0016611295681063123
11	0.0018656716417910447
12	0.00686106346483705
13	0.011400651465798045
14	0.007220216606498195
15	0.007285974499089253
16	0.011152416356877323
17	0.006932409012131715
18	0.0
19	0.0017211703958691911
20	0.00530035335689046
21	0.01763668430335097
22	0.007326007326007326
23	0.0018181818181818182
24	0.001834862385321101
25	0.005434782608695652
