pos	5pC>T
1	0.617816091954023
2	0.47381546134663344
3	0.375
4	0.31443298969072164
5	0.20884520884520885
6	0.18287037037037038
7	0.16859122401847576
8	0.17369727047146402
9	0.10273972602739725
10	0.09480812641083522
11	0.12745098039215685
12	0.08571428571428572
13	0.07852193995381063
14	0.07621247113163972
15	0.06208425720620843
16	0.07692307692307693
17	0.08791208791208792
18	0.056818181818181816
19	0.06378600823045268
20	0.06779661016949153
21	0.059734513274336286
22	0.06605922551252848
23	0.04751131221719457
24	0.06712962962962964
25	0.10067114093959731
