pos	3pG>A
1	0.005923000987166831
2	0.003137254901960784
3	0.005194805194805195
4	0.00510204081632653
5	0.005998286203941731
6	0.0044444444444444444
7	0.006151142355008787
8	0.0060396893874029335
9	0.0025884383088869713
10	0.004310344827586207
11	0.0036798528058877645
12	0.010416666666666666
13	0.008673026886383347
14	0.004488330341113106
15	0.005371530886302597
16	0.0055147058823529415
17	0.008204193254329991
18	0.0008764241893076249
19	0.002551020408163265
20	0.0071877807726864335
21	0.010810810810810811
22	0.00267379679144385
23	0.004591368227731864
24	0.0045045045045045045
25	0.004562043795620438
