pos	5pC>T
1	0.6521084337349398
2	0.4645776566757493
3	0.3802612481857765
4	0.3092105263157895
5	0.20075757575757575
6	0.18476903870162298
7	0.16990291262135923
8	0.1547911547911548
9	0.09265944645006016
10	0.10465116279069768
11	0.09577114427860696
12	0.08700980392156862
13	0.08247422680412371
14	0.08064516129032258
15	0.056338028169014086
16	0.06627906976744186
17	0.0625
18	0.0686936936936937
19	0.06143344709897611
20	0.07261904761904762
21	0.05680473372781065
22	0.06549707602339182
23	0.06385404789053592
24	0.06867469879518072
25	0.09534883720930233
