pos	3pG>A
1	0.002
2	0.006010518407212622
3	0.007731958762886598
4	0.007698887938408896
5	0.00779896013864818
6	0.0036199095022624436
7	0.004516711833785004
8	0.012468827930174564
9	0.005494505494505495
10	0.005338078291814947
11	0.011206896551724138
12	0.004625346901017576
13	0.008896797153024912
14	0.0036463081130355514
15	0.00807899461400359
16	0.009725906277630416
17	0.0045045045045045045
18	0.005249343832020997
19	0.007162041181736795
20	0.007011393514460999
21	0.005338078291814947
22	0.003626473254759746
23	0.006622516556291391
24	0.008325624421831638
25	0.006013745704467354
