pos	5pC>T
1	0.6301587301587301
2	0.4847222222222222
3	0.3735408560311284
4	0.3111979166666667
5	0.2267515923566879
6	0.1828499369482976
7	0.1649214659685864
8	0.11976047904191617
9	0.11813842482100238
10	0.10798650168728909
11	0.07508532423208192
12	0.08405438813349815
13	0.07957559681697612
14	0.06300114547537228
15	0.07069555302166476
16	0.0580964153275649
17	0.08189158016147635
18	0.0661345496009122
19	0.05536723163841808
20	0.06436781609195402
21	0.067816091954023
22	0.0681551116333725
23	0.06132075471698113
24	0.07563959955506118
25	0.07931034482758621
