pos	3pG>A
1	0.004993757802746567
2	0.003968253968253968
3	0.006936416184971098
4	0.00563063063063063
5	0.004581901489117984
6	0.01097560975609756
7	0.0059382422802850355
8	0.004509582863585118
9	0.0035842293906810036
10	0.008547008547008548
11	0.004454342984409799
12	0.004366812227074236
13	0.0059665871121718375
14	0.00580046403712297
15	0.0048134777376654635
16	0.0044742729306487695
17	0.002296211251435132
18	0.004689331770222743
19	0.004801920768307323
20	0.005649717514124294
21	0.003401360544217687
22	0.005649717514124294
23	0.00589622641509434
24	0.0024067388688327317
25	0.006888633754305396
