pos	5pC>T
1	0.6124497991967871
2	0.4952741020793951
3	0.34545454545454546
4	0.3113879003558719
5	0.24673202614379086
6	0.20552677029360966
7	0.18438538205980065
8	0.1529790660225443
9	0.09872611464968153
10	0.10207336523125997
11	0.0698051948051948
12	0.08964451313755796
13	0.06821705426356589
14	0.071875
15	0.07582260371959942
16	0.054773082942097026
17	0.06426332288401254
18	0.07441860465116279
19	0.052552552552552555
20	0.05105105105105105
21	0.07436708860759493
22	0.05426356589147287
23	0.06386292834890965
24	0.06677018633540373
25	0.0893939393939394
