pos	3pG>A
1	0.007889546351084813
2	0.0031323414252153485
3	0.005212858384013901
4	0.005780346820809248
5	0.0018066847335140017
6	0.0035938903863432167
7	0.005272407732864675
8	0.006745362563237774
9	0.005410279531109108
10	0.006222222222222222
11	0.009777777777777778
12	0.005405405405405406
13	0.005323868677905945
14	0.005484460694698354
15	0.00631768953068592
16	0.006071118820468344
17	0.004424778761061947
18	0.005333333333333333
19	0.008368200836820083
20	0.0067226890756302525
21	0.0036429872495446266
22	0.0045662100456621
23	0.004359197907585004
24	0.00641025641025641
25	0.011774600504625737
