#Position (bp)	Coverage
21.5	12.547619047619047
63.5	17.19047619047619
105.5	9.30952380952381
147.5	7.809523809523809
189.5	9.428571428571429
231.5	8.119047619047619
273.5	15.428571428571429
315.5	21.285714285714285
357.5	9.238095238095237
399.5	8.0
441.5	13.071428571428571
483.5	7.023809523809524
525.5	9.80952380952381
567.5	10.833333333333334
609.5	11.071428571428571
651.5	10.738095238095237
693.5	15.476190476190476
735.5	8.619047619047619
777.5	9.285714285714286
819.5	8.952380952380953
861.5	7.428571428571429
903.5	14.523809523809524
945.5	10.571428571428571
987.5	11.119047619047619
1029.5	10.476190476190476
1071.5	13.285714285714286
1113.5	14.285714285714286
1155.5	7.0
1197.5	12.714285714285714
1239.5	14.452380952380953
1281.5	14.071428571428571
1323.5	17.785714285714285
1365.5	11.142857142857142
1407.5	9.357142857142858
1449.5	5.857142857142857
1491.5	13.571428571428571
1533.5	17.261904761904763
1575.5	13.738095238095237
1617.5	10.738095238095237
1659.5	13.023809523809524
1701.5	7.357142857142857
1743.5	12.333333333333334
1785.5	13.071428571428571
1827.5	15.285714285714286
1869.5	15.904761904761905
1911.5	15.452380952380953
1953.5	11.095238095238095
1995.5	11.285714285714286
2037.5	17.166666666666668
2079.5	12.357142857142858
2121.5	7.0476190476190474
2163.5	11.880952380952381
2205.5	7.714285714285714
2247.5	6.238095238095238
2289.5	8.80952380952381
2331.5	9.357142857142858
2373.5	16.095238095238095
2415.5	19.857142857142858
2457.5	14.30952380952381
2499.5	16.547619047619047
2541.5	20.30952380952381
2583.5	9.523809523809524
2625.5	14.047619047619047
2667.5	9.976190476190476
2709.5	10.333333333333334
2751.5	13.976190476190476
2793.5	6.880952380952381
2835.5	12.047619047619047
2877.5	9.714285714285714
2919.5	8.880952380952381
2961.5	9.761904761904763
3003.5	11.047619047619047
3045.5	6.571428571428571
3087.5	9.880952380952381
3129.5	9.80952380952381
3171.5	10.380952380952381
3213.5	10.30952380952381
3255.5	6.238095238095238
3297.5	11.619047619047619
3339.5	14.380952380952381
3381.5	8.119047619047619
3423.5	15.071428571428571
3465.5	14.452380952380953
3507.5	11.380952380952381
3549.5	11.071428571428571
3591.5	9.833333333333334
3633.5	10.642857142857142
3675.5	9.452380952380953
3717.5	10.5
3759.5	12.357142857142858
3801.5	11.30952380952381
3843.5	7.642857142857143
3885.5	18.714285714285715
3927.5	16.285714285714285
3969.5	6.809523809523809
4011.5	11.238095238095237
4053.5	10.0
4095.5	10.238095238095237
4137.5	7.071428571428571
4179.5	10.357142857142858
4221.5	6.595238095238095
4263.5	5.428571428571429
4305.5	14.285714285714286
4347.5	15.571428571428571
4389.5	14.833333333333334
4431.5	9.523809523809524
4473.5	11.571428571428571
4515.5	11.071428571428571
4557.5	9.738095238095237
4599.5	9.761904761904763
4641.5	8.476190476190476
4683.5	6.023809523809524
4725.5	11.261904761904763
4767.5	14.19047619047619
4809.5	7.833333333333333
4851.5	7.904761904761905
4893.5	9.476190476190476
4935.5	10.976190476190476
4977.5	10.785714285714286
5019.5	11.595238095238095
5061.5	8.833333333333334
5103.5	6.0476190476190474
5145.5	6.380952380952381
5187.5	14.833333333333334
5229.5	10.142857142857142
5271.5	11.952380952380953
5313.5	13.5
5355.5	11.880952380952381
5397.5	14.928571428571429
5439.5	7.880952380952381
5481.5	10.738095238095237
5523.5	5.809523809523809
5565.5	7.880952380952381
5607.5	7.0
5649.5	9.023809523809524
5691.5	7.190476190476191
5733.5	7.880952380952381
5775.5	7.857142857142857
5817.5	3.2142857142857144
5859.5	9.142857142857142
5901.5	12.428571428571429
5943.5	6.142857142857143
5985.5	6.214285714285714
6027.5	7.238095238095238
6069.5	10.761904761904763
6111.5	12.785714285714286
6153.5	9.5
6195.5	5.023809523809524
6237.5	6.761904761904762
6279.5	9.452380952380953
6321.5	7.285714285714286
6363.5	10.0
6405.5	7.5
6447.5	9.571428571428571
6489.5	13.30952380952381
6531.5	6.5476190476190474
6573.5	11.904761904761905
6615.5	13.833333333333334
6657.5	9.142857142857142
6699.5	8.285714285714286
6741.5	10.333333333333334
6783.5	6.095238095238095
6825.5	14.642857142857142
6867.5	9.571428571428571
6909.5	10.30952380952381
6951.5	12.023809523809524
6993.5	11.285714285714286
7035.5	11.69047619047619
7077.5	9.738095238095237
7119.5	14.714285714285714
7161.5	14.928571428571429
7203.5	11.476190476190476
7245.5	9.714285714285714
7287.5	12.0
7329.5	8.69047619047619
7371.5	7.190476190476191
7413.5	12.785714285714286
7455.5	12.880952380952381
7497.5	13.333333333333334
7539.5	7.619047619047619
7581.5	6.476190476190476
7623.5	5.690476190476191
7665.5	8.857142857142858
7707.5	9.5
7749.5	13.5
7791.5	8.523809523809524
7833.5	9.023809523809524
7875.5	9.238095238095237
7917.5	7.833333333333333
7959.5	15.119047619047619
8001.5	6.190476190476191
8043.5	10.547619047619047
8085.5	13.380952380952381
8127.5	13.5
8169.5	11.619047619047619
8211.5	12.380952380952381
8253.5	8.285714285714286
8295.5	11.523809523809524
8337.5	8.595238095238095
8379.5	6.285714285714286
8421.5	8.0
8463.5	7.428571428571429
8505.5	9.761904761904763
8547.5	9.952380952380953
8589.5	5.595238095238095
8631.5	4.714285714285714
8673.5	5.761904761904762
8715.5	10.761904761904763
8757.5	10.642857142857142
8799.5	14.5
8841.5	8.142857142857142
8883.5	11.071428571428571
8925.5	10.142857142857142
8967.5	6.4523809523809526
9009.5	7.5
9051.5	5.142857142857143
9093.5	5.142857142857143
9135.5	7.285714285714286
9177.5	9.380952380952381
9219.5	11.952380952380953
9261.5	11.261904761904763
9303.5	7.238095238095238
9345.5	10.761904761904763
9387.5	9.166666666666666
9429.5	6.0476190476190474
9471.5	8.785714285714286
9513.5	15.80952380952381
9555.5	12.714285714285714
9597.5	11.476190476190476
9639.5	9.333333333333334
9681.5	8.642857142857142
9723.5	11.571428571428571
9765.5	11.095238095238095
9807.5	12.952380952380953
9849.5	14.976190476190476
9891.5	16.833333333333332
9933.5	11.952380952380953
9975.5	8.547619047619047
10017.5	11.285714285714286
10059.5	13.214285714285714
10101.5	7.642857142857143
10143.5	6.095238095238095
10185.5	11.19047619047619
10227.5	12.0
10269.5	13.357142857142858
10311.5	8.761904761904763
10353.5	7.023809523809524
10395.5	10.904761904761905
10437.5	12.571428571428571
10479.5	14.642857142857142
10521.5	10.833333333333334
10563.5	9.214285714285714
10605.5	4.857142857142857
10647.5	5.5
10689.5	9.523809523809524
10731.5	13.285714285714286
10773.5	13.19047619047619
10815.5	12.428571428571429
10857.5	5.619047619047619
10899.5	12.142857142857142
10941.5	8.333333333333334
10983.5	8.666666666666666
11025.5	9.357142857142858
11067.5	8.523809523809524
11109.5	9.30952380952381
11151.5	8.404761904761905
11193.5	10.0
11235.5	7.523809523809524
11277.5	12.69047619047619
11319.5	13.738095238095237
11361.5	11.952380952380953
11403.5	9.166666666666666
11445.5	10.30952380952381
11487.5	8.666666666666666
11529.5	10.785714285714286
11571.5	8.69047619047619
11613.5	16.857142857142858
11655.5	9.833333333333334
11697.5	9.761904761904763
11739.5	11.30952380952381
11781.5	9.214285714285714
11823.5	13.738095238095237
11865.5	10.238095238095237
11907.5	9.476190476190476
11949.5	16.11904761904762
11991.5	11.428571428571429
12033.5	9.047619047619047
12075.5	13.261904761904763
12117.5	8.833333333333334
12159.5	5.880952380952381
12201.5	7.904761904761905
12243.5	6.761904761904762
12285.5	3.119047619047619
12327.5	4.595238095238095
12369.5	8.333333333333334
12411.5	4.690476190476191
12453.5	8.333333333333334
12495.5	7.571428571428571
12537.5	8.69047619047619
12579.5	11.19047619047619
12621.5	8.380952380952381
12663.5	9.404761904761905
12705.5	8.976190476190476
