pos	3pG>A
1	0.00784313725490196
2	0.007284079084287201
3	0.003329633740288568
4	0.0032858707557502738
5	0.004366812227074236
6	0.0057273768613974796
7	0.008293838862559242
8	0.004540295119182747
9	0.0012121212121212121
10	0.011890606420927468
11	0.00831353919239905
12	0.0035671819262782403
13	0.01053864168618267
14	0.008898776418242492
15	0.0047789725209080045
16	0.00351288056206089
17	0.006564551422319475
18	0.003260869565217391
19	0.0071090047393364926
20	0.005714285714285714
21	0.004807692307692308
22	0.004733727810650888
23	0.007134363852556481
24	0.002403846153846154
25	0.007125890736342043
