pos	5pC>T
1	0.5951903807615231
2	0.5060483870967742
3	0.3393829401088929
4	0.31643356643356646
5	0.24083769633507854
6	0.18541996830427893
7	0.1494057724957555
8	0.13513513513513514
9	0.12269938650306748
10	0.10132890365448505
11	0.09162717219589257
12	0.1035548686244204
13	0.06758832565284179
14	0.0818452380952381
15	0.06656580937972768
16	0.05606060606060606
17	0.06593406593406594
18	0.07131782945736434
19	0.05648854961832061
20	0.049689440993788817
21	0.057692307692307696
22	0.06932153392330384
23	0.06656101426307448
24	0.06398809523809523
25	0.11128048780487805
