pos	5pC>T
1	0.6422018348623854
2	0.46194225721784776
3	0.3776595744680851
4	0.32989690721649484
5	0.21683673469387754
6	0.16795865633074936
7	0.16991643454038996
8	0.11778846153846154
9	0.11750599520383694
10	0.10491071428571429
11	0.07674418604651163
12	0.0960591133004926
13	0.09018567639257294
14	0.0625
15	0.07982261640798226
16	0.0575
17	0.0898876404494382
18	0.06521739130434782
19	0.06621004566210045
20	0.07623318385650224
21	0.05504587155963303
22	0.06088992974238876
23	0.07294117647058823
24	0.06928406466512702
25	0.0794392523364486
