pos	3pG>A
1	0.006443298969072165
2	0.0010183299389002036
3	0.0057670126874279125
4	0.005549389567147614
5	0.0034285714285714284
6	0.004842615012106538
7	0.008284023668639054
8	0.005701254275940707
9	0.003409090909090909
10	0.0034285714285714284
11	0.0024813895781637717
12	0.009101251422070534
13	0.009060022650056626
14	0.004784688995215311
15	0.00591016548463357
16	0.007453416149068323
17	0.007151370679380214
18	0.0011723329425556857
19	0.00228310502283105
20	0.008443908323281062
21	0.013095238095238096
22	0.007159904534606206
23	0.003694581280788177
24	0.002398081534772182
25	0.006075334143377886
