pos	5pC>T
1	0.6521739130434783
2	0.4562607204116638
3	0.38028169014084506
4	0.3220910623946037
5	0.1902439024390244
6	0.18166939443535188
7	0.18066561014263074
8	0.15409309791332262
9	0.09206349206349207
10	0.09789156626506024
11	0.10301109350237718
12	0.08306188925081433
13	0.07976366322008863
14	0.07511737089201878
15	0.06306306306306306
16	0.06800618238021638
17	0.06485671191553545
18	0.06461086637298091
19	0.06294706723891273
20	0.07642276422764227
21	0.05745341614906832
22	0.0622154779969651
23	0.05263157894736842
24	0.06539074960127592
25	0.10692771084337349
