##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	ANCIENT.SIM.CONT.COV-7.5.RUN-2.fq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3890
Sequences flagged as poor quality	0
Sequence length	30-49
%GC	37
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	33.25089974293059	34.0	33.0	34.0	32.0	34.0
2	32.93033419023136	34.0	33.0	34.0	32.0	34.0
3	32.95372750642674	34.0	33.0	34.0	32.0	34.0
4	32.86041131105399	34.0	33.0	34.0	32.0	34.0
5	32.91696658097686	34.0	33.0	34.0	32.0	34.0
6	36.218251928020564	38.0	37.0	38.0	33.0	38.0
7	36.70719794344473	38.0	38.0	38.0	35.0	38.0
8	36.775064267352185	38.0	38.0	38.0	36.0	38.0
9	36.825706940874035	38.0	38.0	38.0	35.0	38.0
10	36.80951156812339	38.0	38.0	38.0	35.0	38.0
11	36.76349614395887	38.0	38.0	38.0	36.0	38.0
12	36.92313624678663	38.0	38.0	38.0	36.0	38.0
13	36.77943444730077	38.0	38.0	38.0	36.0	38.0
14	36.84370179948586	38.0	38.0	38.0	36.0	38.0
15	36.80565552699229	38.0	38.0	38.0	36.0	38.0
16	36.88843187660668	38.0	38.0	38.0	36.0	38.0
17	36.781748071979436	38.0	38.0	38.0	36.0	38.0
18	36.83110539845758	38.0	38.0	38.0	36.0	38.0
19	36.78740359897172	38.0	38.0	38.0	36.0	38.0
20	36.782776349614394	38.0	38.0	38.0	36.0	38.0
21	36.71645244215938	38.0	38.0	38.0	35.0	38.0
22	36.72185089974293	38.0	38.0	38.0	36.0	38.0
23	36.732390745501284	38.0	38.0	38.0	35.0	38.0
24	36.875835475578405	38.0	38.0	38.0	36.0	38.0
25	36.72236503856041	38.0	38.0	38.0	35.0	38.0
26	36.65629820051414	38.0	38.0	38.0	35.0	38.0
27	36.73033419023136	38.0	38.0	38.0	35.0	38.0
28	36.7426735218509	38.0	38.0	38.0	36.0	38.0
29	36.670951156812336	38.0	38.0	38.0	35.0	38.0
30	36.84473007712082	38.0	38.0	38.0	36.0	38.0
31	36.78298132843587	38.0	38.0	38.0	36.0	38.0
32	36.94873672647382	38.0	38.0	38.0	36.0	38.0
33	36.823028673835125	38.0	38.0	38.0	35.0	38.0
34	36.74130434782609	38.0	38.0	38.0	36.0	38.0
35	36.76518771331058	38.0	38.0	38.0	35.0	38.0
36	36.87354409317803	38.0	38.0	38.0	36.0	38.0
37	36.87603305785124	38.0	38.0	38.0	36.0	38.0
38	36.93324775353017	38.0	38.0	38.0	36.0	38.0
39	36.59777424483307	38.0	38.0	38.0	34.0	38.0
40	36.501937984496124	38.0	38.0	38.0	34.0	38.0
41	36.702517162471395	38.0	38.0	38.0	36.0	38.0
42	36.60606060606061	38.0	38.0	38.0	34.0	38.0
43	36.7027972027972	38.0	38.0	38.0	35.0	38.0
44	36.51754385964912	38.0	38.0	38.0	34.0	38.0
45	36.88484848484848	38.0	38.0	38.0	35.0	38.0
46	37.208333333333336	38.0	38.0	38.0	35.0	38.0
47	37.507246376811594	NaN	NaN	NaN	NaN	NaN
48	36.91304347826087	NaN	NaN	NaN	NaN	NaN
49	37.0	NaN	NaN	NaN	NaN	NaN
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
10	1	0.6870129870129844
10	2	1.1467532467532493
10	3	1.241558441558439
10	4	1.2532467532467564
10	5	-1.7064935064935085
10	6	-8.184415584415582
10	7	1.2324675324675312
10	8	1.1818181818181799
10	9	0.7844155844155836
10	10	1.0792207792207762
10	11	1.0532467532467535
10	12	1.0701298701298683
10	13	1.3532467532467507
10	14	1.0519480519480524
10	15	1.0350649350649377
10	16	1.0454545454545467
10	17	0.9818181818181841
10	18	1.229870129870129
10	19	1.1792207792207776
10	20	1.5220779220779193
10	21	1.0753246753246728
10	22	1.183116883116881
10	23	0.9402597402597408
10	24	-10.106493506493507
10	25	1.0792207792207762
10	26	1.6779220779220765
10	27	1.2285714285714278
10	28	1.3636363636363669
10	29	0.28311688311688243
10	30	0.9454545454545453
10	31	7.867532467532467
10	32	11.407792207792209
10	33	-6.418181818181818
10	34	19.8
10	35	24.47012987012987
10	36	23.233766233766232
10	37	29.264935064935067
10	38	30.761038961038963
10	39	32.23896103896104
10	40	33.28831168831169
10	41	34.015584415584414
10	42	-2.9558441558441557
10	43	-2.464935064935065
10	44	-1.568831168831169
10	45	-1.4545454545454546
10	46	-0.9142857142857143
10	47	-0.4935064935064935
10	48	-0.3922077922077922
10	49	-0.0987012987012987
19	1	0.6870129870129844
19	2	1.1467532467532493
19	3	1.241558441558439
19	4	-1.7467532467532436
19	5	1.2935064935064915
19	6	1.8155844155844179
19	7	0.23246753246753116
19	8	0.18181818181817988
19	9	0.7844155844155836
19	10	1.0792207792207762
19	11	1.0532467532467535
19	12	1.0701298701298683
19	13	1.3532467532467507
19	14	1.0519480519480524
19	15	-2.9649350649350623
19	16	1.0454545454545467
19	17	0.9818181818181841
19	18	1.229870129870129
19	19	1.1792207792207776
19	20	1.5220779220779193
19	21	-22.924675324675327
19	22	1.183116883116881
19	23	0.9402597402597408
19	24	0.8935064935064929
19	25	1.0792207792207762
19	26	1.6779220779220765
19	27	1.2285714285714278
19	28	1.3636363636363669
19	29	1.2831168831168824
19	30	0.9454545454545453
19	31	7.867532467532467
19	32	11.407792207792209
19	33	16.581818181818182
19	34	19.8
19	35	-13.52987012987013
19	36	-10.766233766233766
19	37	-8.735064935064935
19	38	-7.238961038961039
19	39	-5.761038961038961
19	40	-4.711688311688311
19	41	-3.9844155844155846
19	42	-2.9558441558441557
19	43	-2.464935064935065
19	44	-1.568831168831169
19	45	-1.4545454545454546
19	46	-0.9142857142857143
19	47	-0.4935064935064935
19	48	-0.3922077922077922
19	49	-0.0987012987012987
25	1	-0.3129870129870156
25	2	1.1467532467532493
25	3	0.24155844155843909
25	4	0.2532467532467564
25	5	0.2935064935064915
25	6	-2.184415584415582
25	7	1.2324675324675312
25	8	1.1818181818181799
25	9	-3.2155844155844164
25	10	1.0792207792207762
25	11	1.0532467532467535
25	12	1.0701298701298683
25	13	0.3532467532467507
25	14	-9.948051948051948
25	15	1.0350649350649377
25	16	1.0454545454545467
25	17	0.9818181818181841
25	18	1.229870129870129
25	19	1.1792207792207776
25	20	1.5220779220779193
25	21	0.0753246753246728
25	22	-22.81688311688312
25	23	-0.059740259740259205
25	24	0.8935064935064929
25	25	1.0792207792207762
25	26	1.6779220779220765
25	27	1.2285714285714278
25	28	1.3636363636363669
25	29	1.2831168831168824
25	30	0.9454545454545453
25	31	7.867532467532467
25	32	11.407792207792209
25	33	-21.418181818181818
25	34	-18.2
