pos	5pC>T
1	0.6822429906542056
2	0.49866666666666665
3	0.38746438746438744
4	0.3248081841432225
5	0.22613065326633167
6	0.15529411764705883
7	0.14918414918414918
8	0.12933025404157045
9	0.12077294685990338
10	0.09610983981693363
11	0.0696629213483146
12	0.1240506329113924
13	0.08744394618834081
14	0.08775981524249422
15	0.05687203791469194
16	0.05240174672489083
17	0.06306306306306306
18	0.052132701421800945
19	0.07760532150776053
20	0.08863636363636364
21	0.06172839506172839
22	0.0477326968973747
23	0.07589285714285714
24	0.0738255033557047
25	0.07589285714285714
