pos	3pG>A
1	0.003913894324853229
2	0.0045385779122541605
3	0.003424657534246575
4	0.007961783439490446
5	0.005385996409335727
6	0.0035714285714285713
7	0.005385996409335727
8	0.0
9	0.0
10	0.006920415224913495
11	0.0053475935828877
12	0.0071301247771836
13	0.005244755244755245
14	0.008605851979345954
15	0.006825938566552901
16	0.00505902192242833
17	0.00676818950930626
18	0.005405405405405406
19	0.008237232289950576
20	0.010619469026548672
21	0.005628517823639775
22	0.003590664272890485
23	0.006993006993006993
24	0.0054446460980036296
25	0.0064
