pos	3pG>A
1	0.009861932938856016
2	0.010703363914373088
3	0.0032626427406199023
4	0.0032733224222585926
5	0.004975124378109453
6	0.007079646017699115
7	0.007017543859649123
8	0.005008347245409015
9	0.003780718336483932
10	0.0125
11	0.005190311418685121
12	0.0035398230088495575
13	0.012195121951219513
14	0.012089810017271158
15	0.0054249547920434
16	0.0049504950495049506
17	0.008183306055646482
18	0.004942339373970346
19	0.007029876977152899
20	0.008333333333333333
21	0.0018484288354898336
22	0.008849557522123894
23	0.0035211267605633804
24	0.0017301038062283738
25	0.0054446460980036296
