pos	5pC>T
1	0.6172106824925816
2	0.5116279069767442
3	0.3656509695290859
4	0.3142857142857143
5	0.2595419847328244
6	0.18899521531100477
7	0.1335149863760218
8	0.13066666666666665
9	0.12727272727272726
10	0.09020618556701031
11	0.07990867579908675
12	0.10304449648711944
13	0.07109004739336493
14	0.08083140877598152
15	0.06466512702078522
16	0.049107142857142856
17	0.060240963855421686
18	0.059496567505720827
19	0.05134474327628362
20	0.06619385342789598
21	0.07526881720430108
22	0.08027522935779817
23	0.0738255033557047
24	0.05555555555555555
25	0.11778290993071594
