pos	5pC>T
1	0.6400862068965517
2	0.48363636363636364
3	0.36869565217391304
4	0.31103074141048825
5	0.22448979591836735
6	0.17627118644067796
7	0.15570934256055363
8	0.11451612903225807
9	0.11904761904761904
10	0.10385756676557864
11	0.08012326656394453
12	0.08571428571428572
13	0.08687943262411348
14	0.0637037037037037
15	0.08282208588957055
16	0.058823529411764705
17	0.09188361408882083
18	0.06726457399103139
19	0.05829596412556054
20	0.07634730538922156
21	0.06842923794712286
22	0.06729264475743349
23	0.060790273556231005
24	0.06891271056661562
25	0.08469539375928678
