pos	3pG>A
1	0.005494505494505495
2	0.002902757619738752
3	0.006944444444444444
4	0.004807692307692308
5	0.004934210526315789
6	0.009124087591240875
7	0.007155635062611807
8	0.0051635111876075735
9	0.005415162454873646
10	0.009009009009009009
11	0.005076142131979695
12	0.0047694753577106515
13	0.003683241252302026
14	0.0054249547920434
15	0.0053475935828877
16	0.0049586776859504135
17	0.003472222222222222
18	0.005136986301369863
19	0.0037174721189591076
20	0.005016722408026756
21	0.003401360544217687
22	0.008347245409015025
23	0.0018115942028985507
24	0.0035398230088495575
25	0.008756567425569177
