pos	5pC>T
1	0.608955223880597
2	0.4986149584487535
3	0.3769230769230769
4	0.32894736842105265
5	0.2621359223300971
6	0.21628498727735368
7	0.19806763285024154
8	0.13615023474178403
9	0.08374384236453201
10	0.09592326139088729
11	0.053738317757009345
12	0.08674698795180723
13	0.06046511627906977
14	0.06872037914691943
15	0.0784313725490196
16	0.05411764705882353
17	0.05895691609977324
18	0.0794392523364486
19	0.05829596412556054
20	0.061269146608315096
21	0.07816091954022988
22	0.0539906103286385
23	0.07126948775055679
24	0.07674418604651163
25	0.08904109589041095
